1,1,0.0055248618784530384,RandomParty@0,(Offer  bid:Bid[Pie: a890, ])
1,2,0.0055248618784530384,RandomParty2@1,(Offer  bid:Bid[Pie: a28, ])
1,3,0.0055248618784530384,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 45 days, Payment: Upon delivery, Returns: Full price, ])
2,1,0.011049723756906077,RandomParty@0,(Offer  bid:Bid[Pie: a198, ])
2,2,0.011049723756906077,RandomParty2@1,(Offer  bid:Bid[Pie: a325, ])
2,3,0.011049723756906077,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 20 days, Payment: 30 days after delivery, Returns: Full price, ])
3,1,0.016574585635359115,RandomParty@0,(Offer  bid:Bid[Pie: a327, ])
3,2,0.016574585635359115,RandomParty2@1,(Offer  bid:Bid[Pie: a24, ])
3,3,0.016574585635359115,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 20 days, Payment: Upon delivery, Returns: 5% spoilage allowed, ])
4,1,0.022099447513812154,RandomParty@0,(Offer  bid:Bid[Pie: a283, ])
4,2,0.022099447513812154,RandomParty2@1,(Offer  bid:Bid[Pie: a890, ])
4,3,0.022099447513812154,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 45 days, Payment: 30 days after delivery, Returns: Full price, ])
5,1,0.027624309392265192,RandomParty@0,(Offer  bid:Bid[Pie: a871, ])
5,2,0.027624309392265192,RandomParty2@1,(Offer  bid:Bid[Pie: a292, ])
5,3,0.027624309392265192,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 20 days, Payment: 30 days after delivery, Returns: Full price, ])
6,1,0.03314917127071823,RandomParty@0,(Offer  bid:Bid[Pie: a306, ])
6,2,0.03314917127071823,RandomParty2@1,(Offer  bid:Bid[Pie: a696, ])
6,3,0.03314917127071823,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 20 days, Payment: Upon delivery, Returns: 10% spoilage allowed, ])
7,1,0.03867403314917127,RandomParty@0,(Offer  bid:Bid[Pie: a323, ])
7,2,0.03867403314917127,RandomParty2@1,(Offer  bid:Bid[Pie: a96, ])
7,3,0.03867403314917127,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 60 days, Payment: 30 days after delivery, Returns: Full price, ])
8,1,0.04419889502762431,RandomParty@0,(Offer  bid:Bid[Pie: a452, ])
8,2,0.04419889502762431,RandomParty2@1,(Offer  bid:Bid[Pie: a265, ])
8,3,0.04419889502762431,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 20 days, Payment: 30 days after delivery, Returns: 5% spoilage allowed, ])
9,1,0.049723756906077346,RandomParty@0,(Offer  bid:Bid[Pie: a497, ])
9,2,0.049723756906077346,RandomParty2@1,(Offer  bid:Bid[Pie: a51, ])
9,3,0.049723756906077346,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 30 days, Payment: Upon delivery, Returns: 10% spoilage allowed, ])
10,1,0.055248618784530384,RandomParty@0,(Offer  bid:Bid[Pie: a860, ])
10,2,0.055248618784530384,RandomParty2@1,(Offer  bid:Bid[Pie: a494, ])
10,3,0.055248618784530384,Group1@2,(Offer  bid:Bid[Price: $3.47, Delivery: 30 days, Payment: 30 days after delivery, Returns: 10% spoilage allowed, ])
11,1,0.06077348066298342,RandomParty@0,(Offer  bid:Bid[Pie: a982, ])
11,2,0.06077348066298342,RandomParty2@1,(Offer  bid:Bid[Pie: a683, ])
11,3,0.06077348066298342,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 45 days, Payment: Upon delivery, Returns: 10% spoilage allowed, ])
12,1,0.06629834254143646,RandomParty@0,(Offer  bid:Bid[Pie: a305, ])
12,2,0.06629834254143646,RandomParty2@1,(Offer  bid:Bid[Pie: a606, ])
12,3,0.06629834254143646,Group1@2,(Offer  bid:Bid[Price: $3.47, Delivery: 60 days, Payment: 30 days after delivery, Returns: 5% spoilage allowed, ])
13,1,0.0718232044198895,RandomParty@0,(Offer  bid:Bid[Pie: a908, ])
13,2,0.0718232044198895,RandomParty2@1,(Offer  bid:Bid[Pie: a851, ])
13,3,0.0718232044198895,Group1@2,(Offer  bid:Bid[Price: $3.47, Delivery: 45 days, Payment: 60 days after delivery, Returns: 5% spoilage allowed, ])
14,1,0.07734806629834254,RandomParty@0,(Offer  bid:Bid[Pie: a566, ])
14,2,0.07734806629834254,RandomParty2@1,(Offer  bid:Bid[Pie: a220, ])
14,3,0.07734806629834254,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 20 days, Payment: Upon delivery, Returns: 10% spoilage allowed, ])
15,1,0.08287292817679558,RandomParty@0,(Offer  bid:Bid[Pie: a340, ])
15,2,0.08287292817679558,RandomParty2@1,(Offer  bid:Bid[Pie: a61, ])
15,3,0.08287292817679558,Group1@2,(Offer  bid:Bid[Price: $3.47, Delivery: 45 days, Payment: 30 days after delivery, Returns: 10% spoilage allowed, ])
16,1,0.08839779005524862,RandomParty@0,(Offer  bid:Bid[Pie: a738, ])
16,2,0.08839779005524862,RandomParty2@1,(Offer  bid:Bid[Pie: a623, ])
16,3,0.08839779005524862,Group1@2,(Offer  bid:Bid[Price: $4.12, Delivery: 45 days, Payment: Upon delivery, Returns: Full price, ])
17,1,0.09392265193370165,RandomParty@0,(Offer  bid:Bid[Pie: a687, ])
17,2,0.09392265193370165,RandomParty2@1,(Offer  bid:Bid[Pie: a88, ])
17,3,0.09392265193370165,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 30 days, Payment: Upon delivery, Returns: 10% spoilage allowed, ])
18,1,0.09944751381215469,RandomParty@0,(Offer  bid:Bid[Pie: a580, ])
18,2,0.09944751381215469,RandomParty2@1,(Offer  bid:Bid[Pie: a197, ])
18,3,0.09944751381215469,Group1@2,(Offer  bid:Bid[Price: $3.47, Delivery: 60 days, Payment: 60 days after delivery, Returns: 5% spoilage allowed, ])
19,1,0.10497237569060773,RandomParty@0,(Offer  bid:Bid[Pie: a747, ])
19,2,0.10497237569060773,RandomParty2@1,(Offer  bid:Bid[Pie: a424, ])
19,3,0.10497237569060773,Group1@2,(Offer  bid:Bid[Price: $3.47, Delivery: 60 days, Payment: 30 days after delivery, Returns: 10% spoilage allowed, ])
20,1,0.11049723756906077,RandomParty@0,(Offer  bid:Bid[Pie: a981, ])
20,2,0.11049723756906077,RandomParty2@1,(Offer  bid:Bid[Pie: a826, ])
20,3,0.11049723756906077,Group1@2,(Offer  bid:Bid[Price: $4.37, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
21,1,0.11602209944751381,RandomParty@0,(Offer  bid:Bid[Pie: a643, ])
21,2,0.11602209944751381,RandomParty2@1,(Offer  bid:Bid[Pie: a416, ])
21,3,0.11602209944751381,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 60 days, Payment: Upon delivery, Returns: 5% spoilage allowed, ])
22,1,0.12154696132596685,RandomParty@0,(Offer  bid:Bid[Pie: a400, ])
22,2,0.12154696132596685,RandomParty2@1,(Offer  bid:Bid[Pie: a389, ])
22,3,0.12154696132596685,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 45 days, Payment: 60 days after delivery, Returns: 5% spoilage allowed, ])
23,1,0.1270718232044199,RandomParty@0,(Offer  bid:Bid[Pie: a945, ])
23,2,0.1270718232044199,RandomParty2@1,(Offer  bid:Bid[Pie: a57, ])
23,3,0.1270718232044199,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 45 days, Payment: 30 days after delivery, Returns: 10% spoilage allowed, ])
24,1,0.13259668508287292,RandomParty@0,(Offer  bid:Bid[Pie: a453, ])
24,2,0.13259668508287292,RandomParty2@1,(Offer  bid:Bid[Pie: a397, ])
24,3,0.13259668508287292,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 45 days, Payment: 60 days after delivery, Returns: 5% spoilage allowed, ])
25,1,0.13812154696132597,RandomParty@0,(Offer  bid:Bid[Pie: a794, ])
25,2,0.13812154696132597,RandomParty2@1,(Offer  bid:Bid[Pie: a192, ])
25,3,0.13812154696132597,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 45 days, Payment: 30 days after delivery, Returns: 10% spoilage allowed, ])
26,1,0.143646408839779,RandomParty@0,(Offer  bid:Bid[Pie: a214, ])
26,2,0.143646408839779,RandomParty2@1,(Offer  bid:Bid[Pie: a527, ])
26,3,0.143646408839779,Group1@2,(Offer  bid:Bid[Price: $3.71, Delivery: 30 days, Payment: 60 days after delivery, Returns: 10% spoilage allowed, ])
27,1,0.14917127071823205,RandomParty@0,(Offer  bid:Bid[Pie: a971, ])
27,2,0.14917127071823205,RandomParty2@1,(Offer  bid:Bid[Pie: a613, ])
27,3,0.14917127071823205,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 20 days, Payment: 60 days after delivery, Returns: 5% spoilage allowed, ])
28,1,0.15469613259668508,RandomParty@0,(Offer  bid:Bid[Pie: a518, ])
28,2,0.15469613259668508,RandomParty2@1,(Offer  bid:Bid[Pie: a598, ])
28,3,0.15469613259668508,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 20 days, Payment: 30 days after delivery, Returns: 10% spoilage allowed, ])
29,1,0.16022099447513813,RandomParty@0,(Offer  bid:Bid[Pie: a467, ])
29,2,0.16022099447513813,RandomParty2@1,(Offer  bid:Bid[Pie: a717, ])
29,3,0.16022099447513813,Group1@2,(Offer  bid:Bid[Price: $4.12, Delivery: 20 days, Payment: Upon delivery, Returns: 5% spoilage allowed, ])
30,1,0.16574585635359115,RandomParty@0,(Offer  bid:Bid[Pie: a541, ])
30,2,0.16574585635359115,RandomParty2@1,(Offer  bid:Bid[Pie: a312, ])
30,3,0.16574585635359115,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 60 days, Payment: Upon delivery, Returns: 10% spoilage allowed, ])
31,1,0.1712707182320442,RandomParty@0,(Offer  bid:Bid[Pie: a562, ])
31,2,0.1712707182320442,RandomParty2@1,(Offer  bid:Bid[Pie: a151, ])
31,3,0.1712707182320442,Group1@2,(Offer  bid:Bid[Price: $4.12, Delivery: 45 days, Payment: 30 days after delivery, Returns: Full price, ])
32,1,0.17679558011049723,RandomParty@0,(Offer  bid:Bid[Pie: a391, ])
32,2,0.17679558011049723,RandomParty2@1,(Offer  bid:Bid[Pie: a528, ])
32,3,0.17679558011049723,Group1@2,(Offer  bid:Bid[Price: $4.12, Delivery: 20 days, Payment: 60 days after delivery, Returns: Full price, ])
33,1,0.18232044198895028,RandomParty@0,(Offer  bid:Bid[Pie: a508, ])
33,2,0.18232044198895028,RandomParty2@1,(Offer  bid:Bid[Pie: a684, ])
33,3,0.18232044198895028,Group1@2,(Offer  bid:Bid[Price: $4.37, Delivery: 45 days, Payment: Upon delivery, Returns: Full price, ])
34,1,0.1878453038674033,RandomParty@0,(Offer  bid:Bid[Pie: a878, ])
34,2,0.1878453038674033,RandomParty2@1,(Offer  bid:Bid[Pie: a768, ])
34,3,0.1878453038674033,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 30 days, Payment: 30 days after delivery, Returns: 10% spoilage allowed, ])
35,1,0.19337016574585636,RandomParty@0,(Offer  bid:Bid[Pie: a651, ])
35,2,0.19337016574585636,RandomParty2@1,(Offer  bid:Bid[Pie: a271, ])
35,3,0.19337016574585636,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 60 days, Payment: 30 days after delivery, Returns: 5% spoilage allowed, ])
36,1,0.19889502762430938,RandomParty@0,(Offer  bid:Bid[Pie: a184, ])
36,2,0.19889502762430938,RandomParty2@1,(Offer  bid:Bid[Pie: a440, ])
36,3,0.19889502762430938,Group1@2,(Offer  bid:Bid[Price: $4.12, Delivery: 30 days, Payment: 60 days after delivery, Returns: Full price, ])
37,1,0.20441988950276244,RandomParty@0,(Offer  bid:Bid[Pie: a743, ])
37,2,0.20441988950276244,RandomParty2@1,(Offer  bid:Bid[Pie: a50, ])
37,3,0.20441988950276244,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 45 days, Payment: 60 days after delivery, Returns: 5% spoilage allowed, ])
38,1,0.20994475138121546,RandomParty@0,(Offer  bid:Bid[Pie: a920, ])
38,2,0.20994475138121546,RandomParty2@1,(Offer  bid:Bid[Pie: a512, ])
38,3,0.20994475138121546,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 45 days, Payment: 60 days after delivery, Returns: 5% spoilage allowed, ])
39,1,0.2154696132596685,RandomParty@0,(Offer  bid:Bid[Pie: a753, ])
39,2,0.2154696132596685,RandomParty2@1,(Offer  bid:Bid[Pie: a746, ])
39,3,0.2154696132596685,Group1@2,(Offer  bid:Bid[Price: $3.98, Delivery: 60 days, Payment: 30 days after delivery, Returns: 5% spoilage allowed, ])
