sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
54,001;50812;;60s;Yes;No;3;0,35965;0,71271;0,25067;0,59062;1,63903;RandomParty@0;RandomParty2@1;Group1@2;0.5666666666666667;0.7127130127814056;0.3596506502493736;0.5666666666666667;0.7127130127814056;0.3596506502493736;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,003;44939;;60s;Yes;No;3;0,72833;0,89154;0,00000;0,23056;2,35523;RandomParty2@3;RandomParty@4;Group1@5;0.7283333333333334;0.8915385873292463;0.7353536716401584;0.7283333333333334;0.8915385873292463;0.7353536716401584;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;33719;;60s;Yes;No;3;0,64250;0,78439;0,08488;0,25885;2,13082;Group1@9;RandomParty@10;RandomParty2@11;0.6425;0.7843885359328943;0.7039328326785925;0.6425;0.7843885359328943;0.7039328326785925;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;33996;;60s;Yes;No;3;0,45531;0,77667;0,32348;0,50218;1,74100;RandomParty@15;Group1@16;RandomParty2@17;0.7766666666666667;0.5090214070815698;0.4553120612464009;0.7766666666666667;0.5090214070815698;0.4553120612464009;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;34627;;60s;Yes;No;3;0,57325;0,78277;0,11403;0,32736;2,12018;RandomParty2@21;Group1@22;RandomParty@23;0.7641666666666665;0.7827678073224524;0.5732462747495277;0.7641666666666665;0.7827678073224524;0.5732462747495277;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;35690;;60s;Yes;No;3;0,28757;0,70250;0,28265;0,62197;1,66473;Group1@27;RandomParty2@28;RandomParty@29;0.7025;0.674659619207379;0.2875726842485977;0.7025;0.674659619207379;0.2875726842485977;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;35429;;60s;Yes;No;3;0,57375;0,78149;0,12229;0,34044;2,06107;RandomParty@33;RandomParty2@34;Group1@35;0.7058333333333333;0.7814883579395058;0.5737505784716315;0.7058333333333333;0.7814883579395058;0.5737505784716315;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,000;36041;;60s;Yes;No;3;0,40637;0,71052;0,24690;0,55180;1,67690;RandomParty2@39;RandomParty@40;Group1@41;0.56;0.710523726668587;0.40637336091366805;0.56;0.710523726668587;0.40637336091366805;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;50078;;60s;Yes;No;3;0,61083;0,69185;0,17554;0,29488;1,98324;Group1@42;RandomParty@43;RandomParty2@44;0.6108333333333333;0.6805508989527451;0.6918528173892413;0.6108333333333333;0.6805508989527451;0.6918528173892413;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;51284;;60s;Yes;No;3;0,30736;0,59877;0,37714;0,66806;1,43946;RandomParty@45;Group1@46;RandomParty2@47;0.5333333333333333;0.5987693384888548;0.30735975868280135;0.5333333333333333;0.5987693384888548;0.30735975868280135;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;51404;;60s;Yes;No;3;0,55646;0,79182;0,14527;0,38908;1,97495;RandomParty2@48;Group1@49;RandomParty@50;0.6266666666666666;0.7918209933402452;0.5564584826801143;0.6266666666666666;0.7918209933402452;0.5564584826801143;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;50599;;60s;Yes;No;3;0,61833;0,75137;0,10898;0,26895;2,07959;Group1@51;RandomParty2@52;RandomParty@53;0.6183333333333333;0.7513701318421111;0.7098900710874675;0.6183333333333333;0.7513701318421111;0.7098900710874675;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,158;50912;;60s;Yes;No;3;0,45567;0,75500;0,23121;0,44941;1,88535;RandomParty@54;RandomParty2@55;Group1@56;0.7549999999999999;0.6746780765240572;0.45566988248464835;0.7549999999999999;0.6746780765240572;0.45566988248464835;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,002;51084;;60s;Yes;No;3;0,29629;0,80911;0,19273;0,65528;1,65957;RandomParty2@57;RandomParty@58;Group1@59;0.5541666666666666;0.8091138336944635;0.2962875085307941;0.5541666666666666;0.8091138336944635;0.2962875085307941;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,002;50703;;60s;Yes;No;3;0,49333;0,68299;0,23735;0,41295;1,81880;Group1@60;RandomParty@61;RandomParty2@62;0.4933333333333333;0.6829888841797617;0.6424825296780011;0.4933333333333333;0.6829888841797617;0.6424825296780011;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;51227;;60s;Yes;No;3;0,58738;0,89114;0,02293;0,34860;2,21102;RandomParty@63;Group1@64;RandomParty2@65;0.7325;0.8911396922249524;0.5873827761455925;0.7325;0.8911396922249524;0.5873827761455925;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;51440;;60s;Yes;No;3;0,67668;0,78164;0,08143;0,23354;2,19583;RandomParty2@66;Group1@67;RandomParty@68;0.7374999999999999;0.7816438495704873;0.6766832156186816;0.7374999999999999;0.7816438495704873;0.6766832156186816;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;47156;;60s;Yes;No;3;0,29537;0,70843;0,28830;0,70279;1,45296;Group1@69;RandomParty2@70;RandomParty@71;0.4491666666666666;0.7084299845802365;0.29536682108726714;0.4491666666666666;0.7084299845802365;0.29536682108726714;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;46956;;60s;Yes;No;3;0,49946;0,63376;0,33937;0,50622;1,65239;RandomParty@74;RandomParty2@75;Group1@76;0.5191666666666667;0.6337586945791795;0.49946485564278426;0.5191666666666667;0.6337586945791795;0.49946485564278426;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;41004;;60s;Yes;No;3;0,45751;0,89084;0,05326;0,46774;2,07751;RandomParty2@77;RandomParty@78;Group1@79;0.7291666666666669;0.8908365874245782;0.4575107957782212;0.7291666666666669;0.8908365874245782;0.4575107957782212;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,002;41869;;60s;Yes;No;3;0,30605;0,75765;0,24238;0,70014;1,49869;Group1@82;RandomParty@83;RandomParty2@84;0.43499999999999994;0.757646999447422;0.30604679988235506;0.43499999999999994;0.757646999447422;0.30604679988235506;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;35706;;60s;Yes;No;3;0,70323;0,77808;0,07616;0,20175;2,23964;RandomParty@88;Group1@89;RandomParty2@90;0.7583333333333334;0.7780810361032955;0.7032250608546394;0.7583333333333334;0.7780810361032955;0.7032250608546394;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;45472;;60s;Yes;No;3;0,36043;0,61833;0,31840;0,58432;1,59500;RandomParty2@91;Group1@92;RandomParty@93;0.6183333333333333;0.6162350024194516;0.3604308828499443;0.6183333333333333;0.6162350024194516;0.3604308828499443;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;47740;;60s;Yes;No;3;0,53000;0,74113;0,20903;0,40080;1,88285;Group1@94;RandomParty2@95;RandomParty@96;0.53;0.7411319387600431;0.6117143116503541;0.53;0.7411319387600431;0.6117143116503541;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;47891;;60s;Yes;No;3;0,36083;0,70136;0,32108;0,68848;1,44055;RandomParty@97;RandomParty2@98;Group1@99;0.36083333333333334;0.7013620904645264;0.3783574459186357;0.36083333333333334;0.7013620904645264;0.3783574459186357;party1_utility.xml;party3_utility.xml;party7_utility.xml
54,001;46633;;60s;Yes;No;3;0,56333;0,84069;0,09519;0,33647;2,09359;RandomParty2@100;RandomParty@101;Group1@102;0.5633333333333334;0.8406886080309776;0.6895662192176024;0.5633333333333334;0.8406886080309776;0.6895662192176024;party1_utility.xml;party3_utility.xml;party7_utility.xml
